cohort,endpoint_name,input_name,decile,predicted_risk,observed_risk,observed_risk_se,observed_risk_ci_lower,observed_risk_ci_upper,decile_n,decile_n_events,n,n_events,overall_predicted_risk,overall_observed_risk,follow_up_time,n_female,n_male,n_total
UK Biobank,Chronic obstructive pulmonary disease,Age + sex + biomarkers,2,0.12148101962338792,0.0641821060288399,0.025326598110450554,0.014542885881436644,0.11382132617624316,23371,15,233704,1229,0.5584114745512652,0.5258788895355204,3,243663,171929,415592
UK Biobank,Chronic obstructive pulmonary disease,Age + sex + biomarkers,3,0.1754745406807774,0.1198065979205017,0.03459308920609431,0.05200538896257559,0.18760780687842782,23371,28,233704,1229,0.5584114745512652,0.5258788895355204,3,243663,171929,415592
UK Biobank,Chronic obstructive pulmonary disease,Age + sex + biomarkers,4,0.23706877378010746,0.2011039322237126,0.04480045671868285,0.11329665056414873,0.28891121388327645,23371,47,233704,1229,0.5584114745512652,0.5258788895355204,3,243663,171929,415592
UK Biobank,Chronic obstructive pulmonary disease,Age + sex + biomarkers,5,0.30998394152768743,0.22250748823277586,0.04711919913417677,0.13015555494941852,0.3148594215161332,23370,52,233704,1229,0.5584114745512652,0.5258788895355204,3,243663,171929,415592
UK Biobank,Chronic obstructive pulmonary disease,Age + sex + biomarkers,6,0.40024160254107544,0.26101839965767676,0.05102433085139838,0.16101254885368,0.3610242504616735,23370,61,233704,1229,0.5584114745512652,0.5258788895355204,3,243663,171929,415592
UK Biobank,Chronic obstructive pulmonary disease,Age + sex + biomarkers,7,0.5202423799788747,0.4664099272571702,0.06813621727505519,0.33286539535526616,0.5999544591590742,23370,109,233704,1229,0.5584114745512652,0.5258788895355204,3,243663,171929,415592
UK Biobank,Chronic obstructive pulmonary disease,Age + sex + biomarkers,8,0.6902084012352536,0.6118955926401367,0.07798573294716114,0.45904636475574223,0.7647448205245312,23370,143,233704,1229,0.5584114745512652,0.5258788895355204,3,243663,171929,415592
UK Biobank,Chronic obstructive pulmonary disease,Age + sex + biomarkers,9,0.9770295060289469,1.0012836970475072,0.09956407104351521,0.8061417036480302,1.1964256904469843,23370,234,233704,1229,0.5584114745512652,0.5258788895355204,3,243663,171929,415592
UK Biobank,Chronic obstructive pulmonary disease,Age + sex + biomarkers,10,2.0861155981873836,2.2721437740693515,0.1490171943285664,1.980075440108155,2.564212108030548,23370,531,233704,1229,0.5584114745512652,0.5258788895355204,3,243663,171929,415592
Estonian Biobank,Ischemic stroke,Age + sex + biomarkers,1,0.00569121112745671,0.01549546757573409,0.01244759693078736,-0.00890137410268045,0.03989230925414864,12907,2,129069,357,0.14479599500584825,0.2765962392208819,3,243663,171929,415592
Estonian Biobank,Ischemic stroke,Age + sex + biomarkers,2,0.00932660535423136,0.00774773378786704,0.00880212121472264,-0.00950410678054528,0.02499957435627938,12907,1,129069,357,0.14479599500584825,0.2765962392208819,3,243663,171929,415592
Estonian Biobank,Ischemic stroke,Age + sex + biomarkers,3,0.01380105041320147,0.02324320136360114,0.01524453982309829,-0.0066355476505581,0.0531219503777604,12907,3,129069,357,0.14479599500584825,0.2765962392208819,3,243663,171929,415592
Estonian Biobank,Ischemic stroke,Age + sex + biomarkers,4,0.02055581389049018,0.06198187030293638,0.02488940585191889,0.01319953123657489,0.11076420936929789,12907,8,129069,357,0.14479599500584825,0.2765962392208819,3,243663,171929,415592
Estonian Biobank,Ischemic stroke,Age + sex + biomarkers,5,0.03120241539285253,0.10846827303013867,0.0329179304840985,0.04395031483571249,0.17298623122456488,12907,14,129069,357,0.14479599500584825,0.2765962392208819,3,243663,171929,415592
Estonian Biobank,Ischemic stroke,Age + sex + biomarkers,6,0.04756191113161266,0.03873866893933524,0.01967909106979825,1.6835919404687566e-4,0.07730897868462361,12907,5,129069,357,0.14479599500584825,0.2765962392208819,3,243663,171929,415592
Estonian Biobank,Ischemic stroke,Age + sex + biomarkers,7,0.07455271331945207,0.06972960409080343,0.02639817816237048,0.01799012563508555,0.1214690825465213,12907,9,129069,357,0.14479599500584825,0.2765962392208819,3,243663,171929,415592
Estonian Biobank,Ischemic stroke,Age + sex + biomarkers,8,0.12451192026094768,0.27891841636321374,0.05274106680619929,0.17554782491684223,0.3822890078095853,12907,36,129069,357,0.14479599500584825,0.2765962392208819,3,243663,171929,415592
Estonian Biobank,Ischemic stroke,Age + sex + biomarkers,9,0.24039460794215112,0.5500890989385605,0.07396658076787618,0.4051172645739502,0.6950609333031708,12907,71,129069,357,0.14479599500584825,0.2765962392208819,3,243663,171929,415592
Estonian Biobank,Ischemic stroke,Age + sex + biomarkers,10,0.8804186953145898,1.611653494498683,0.12592863446731337,1.3648379063204392,1.858469082676926,12906,208,129069,357,0.14479599500584825,0.2765962392208819,3,243663,171929,415592
Estonian Biobank,Depressive disorders,Age + sex + biomarkers,1,0.3817970168764028,1.406586132715539,0.11776739961303533,1.1757662709210532,1.637405994510024,12086,170,120851,2577,0.8053859979708086,2.132377886819307,3,243663,171929,415592
Estonian Biobank,Depressive disorders,Age + sex + biomarkers,2,0.49696688950475426,1.7459660736450149,0.13098183314649595,1.489246398048848,2.002685749241181,12085,211,120851,2577,0.8053859979708086,2.132377886819307,3,243663,171929,415592
Estonian Biobank,Depressive disorders,Age + sex + biomarkers,3,0.5749095118087757,1.9776582540339265,0.13923747178672127,1.704757824033541,2.250558684034312,12085,239,120851,2577,0.8053859979708086,2.132377886819307,3,243663,171929,415592
Estonian Biobank,Depressive disorders,Age + sex + biomarkers,4,0.6435051856742552,2.134877947869259,0.1445501230531656,1.851564912724222,2.4181909830142967,12085,258,120851,2577,0.8053859979708086,2.132377886819307,3,243663,171929,415592
Estonian Biobank,Depressive disorders,Age + sex + biomarkers,5,0.7098800089492375,2.093504344228382,0.14317284515217635,1.8128907241659864,2.374117964290778,12085,253,120851,2577,0.8053859979708086,2.132377886819307,3,243663,171929,415592
Estonian Biobank,Depressive disorders,Age + sex + biomarkers,6,0.7808065180427727,2.167976830781962,0.14564172186309984,1.882524301283886,2.4534293602800368,12085,262,120851,2577,0.8053859979708086,2.132377886819307,3,243663,171929,415592
Estonian Biobank,Depressive disorders,Age + sex + biomarkers,7,0.8615128328704366,2.225899875879189,0.14753079933993415,1.9367448225625123,2.5150549291958653,12085,269,120851,2577,0.8053859979708086,2.132377886819307,3,243663,171929,415592
Estonian Biobank,Depressive disorders,Age + sex + biomarkers,8,0.9621718268927302,2.5155151013653287,0.15660267787186033,2.208579492853955,2.8224507098767027,12085,304,120851,2577,0.8053859979708086,2.132377886819307,3,243663,171929,415592
Estonian Biobank,Depressive disorders,Age + sex + biomarkers,9,1.1099344926725396,2.325196524617294,0.15070896062103212,2.029812389652606,2.6205806595819823,12085,281,120851,2577,0.8053859979708086,2.132377886819307,3,243663,171929,415592
Estonian Biobank,Depressive disorders,Age + sex + biomarkers,10,1.532410747221402,2.7306578402978903,0.16298198429118976,2.4112190209582858,3.0500966596374948,12085,330,120851,2577,0.8053859979708086,2.132377886819307,3,243663,171929,415592
Estonian Biobank,Type 2 diabetes,Age + sex + biomarkers,1,0.01968698926460731,0.00776156473144985,0.00880997430839038,-0.00950566761771845,0.02502879708061817,12884,1,128839,796,0.4138447709520413,0.6178253479148393,3,243663,171929,415592
Estonian Biobank,Type 2 diabetes,Age + sex + biomarkers,2,0.0371413380356096,0.02328469419434958,0.01525813861536203,-0.00662070796287983,0.05319009635157901,12884,3,128839,796,0.4138447709520413,0.6178253479148393,3,243663,171929,415592
Estonian Biobank,Type 2 diabetes,Age + sex + biomarkers,3,0.05466262754184731,0.04656938838869916,0.02157575361829853,0.0042816883575243,0.08885708841987403,12884,6,128839,796,0.4138447709520413,0.6178253479148393,3,243663,171929,415592
